ID,Seed,t_apop,c_decay,c_dif,c_sec,t_circ,t_exp,igm,t_inc,v_inf,sigma,t_kill,speed,circ_age,foi_age,v_decay,v_dif,v_sec,Output 1,Output 2,Output 3,Output 4,Output 5,Output 6,Output 7,Output 8,Output 9,Output 10,Output 11,Output 12,Output 13,Output 14,Output 15,Output 16,Output 17,Output 18,Output 19,Output 20,Output 21,Output 22,Output 23,Output 24,Output 25,Output 26,Output 27,Output 28,Output 29,Output 30,Output 31,Output 32,Output 33,Output 34,Output 35,Output 36,Output 37,Output 38,Output 39,Output 40,Output 41,Output 42,Output 43,Output 44,Output 45,Output 46,Output 47,Output 48,Output 49,Output 50,Output 51,Output 52,Output 53,Output 54,Output 55,Output 56,Output 57,Output 58,Output 59,Output 60,Output 61,Output 62,Output 63,Output 64,Output 65,Output 66,Output 67,Output 68,Output 69,Output 70,Output 71,Output 72,Output 73,Output 74,Output 75,Output 76,Output 77,Output 78,Output 79,Output 80,Output 81,Output 82,Output 83,Output 84,Output 85,Output 86,Output 87,Output 88,Output 89,Output 90,Output 91,Output 92,Output 93,Output 94,Output 95,Output 96,Output 97
818,2,1.1071,3.0372e-05,1.5965,0.00016514,0.58004,988.26,21.076,0.091481,126.34,1392.5,2.4335,0.18973,5.5745,242.64,7.3304,0.053547,0.00028753,1,1,3,7,20,37,90,166,298,453,691,967,1277,1612,1954,2315,2664,3032,3443,3785,4116,4530,4916,5287,5667,6058,6502,6916,7363,7707,8132,8552,9016,9484,9868,10314,10681,11080,11455,10811,9333,7886,6350,4782,3082,1346,1091,974,831,707,569,392,283,208,145,102,67,39,18,8,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,2,0.91188,0.00093588,0.41736,0.00017225,0.62176,1240.3,2.113,0.090027,83.507,1376.7,10.516,0.0017882,69.572,619.88,67.838,1.2699,0.00083929,1,2,5,19,66,232,720,1634,3044,5039,7569,10697,14454,18650,23233,28047,33151,38260,43410,48636,53809,59105,64319,69395,74360,79443,84569,89974,95448,1.0114e+05,1.0663e+05,1.1245e+05,1.1702e+05,1.1857e+05,1.1695e+05,1.1297e+05,1.0689e+05,98804,88898,76093,62393,50088,40323,32138,25036,19119,14212,10695,8944,7159,5142,3273,1835,880,373,129,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,2,0.0041531,0.011172,0.25386,0.00027888,0.11956,1515,4.4775,0.096204,394.01,1618.2,4.2184,0.031501,16.163,327.61,0.017839,0.1461,0.00037277,1,2,5,12,29,58,145,312,653,1189,1934,2890,4040,5367,6832,8567,10386,12252,14173,16039,17962,19813,21642,23581,25582,27563,29566,31542,33583,35500,37600,39639,41672,43698,45626,47567,49593,51780,53782,55552,57353,59157,60997,63043,65044,67028,68759,70506,72512,71060,66261,60969,56535,53162,50149,47525,44716,41939,39175,36077,32744,29436,26279,23089,20190,17452,14803,12425,10137,8102,6590,5142,3958,2699,1712,909,382,86,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,2,0.58672,1.6495e-05,1.6184,0.0001898,0.037919,1576,6.831,0.10766,160.27,2981.8,32.29,0.090282,11.483,166.92,1.1202,0.29664,0.00035839,1,2,11,37,112,328,916,2046,3777,6030,8605,11699,15220,19098,23485,28302,33188,38306,43196,48123,53137,58189,63433,68434,73562,78667,83789,89179,94357,99894,1.0559e+05,1.1112e+05,1.1644e+05,1.2169e+05,1.2602e+05,1.2832e+05,1.2859e+05,1.2696e+05,1.24e+05,1.1903e+05,1.114e+05,1.0264e+05,93115,82729,71755,61470,52253,44153,36766,29339,22951,17394,12923,9286,6481,4394,2774,1667,859,358,113,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,2,0.35554,5.6679e-05,0.093937,0.00021562,0.70159,1377.2,27.657,0.098443,43.274,923.58,9.8389,0.14798,2.9024,142.04,0.21798,0.00061443,0.00056555,1,6,28,96,192,333,527,789,1086,1445,1850,2365,2878,3404,3913,4398,4888,5339,5807,6254,6668,7033,7449,7925,8379,8845,9378,9844,10321,10802,11385,11917,12384,12878,13328,13766,14246,14768,15271,15702,15984,16479,16887,17334,17706,18273,18815,19262,19710,19770,18622,17062,15500,14332,13364,12728,12403,12516,12867,13146,13455,13817,14253,14704,15367,15778,16384,16584,16915,17029,17240,17662,18130,18438,18806,19294,19684,20062,20500,20932,21403,21877,22103,22531,22878,23317,23602,23884,24459,24789,25367,25870,26329,26773,27242,27520,27868
823,2,0.50685,0.0005833,0.19428,0.0001971,1.0351,562.3,69.493,0.060518,122.35,1951.5,28.479,0.23598,1.9514,64.309,1.4396,0.0062829,0.00059334,1,2,17,50,108,195,289,405,505,632,727,854,981,1081,1245,1379,1500,1635,1744,1937,2090,2288,2399,2471,2585,2684,2846,3028,3205,3313,3451,3610,3772,4032,4160,4302,4401,4518,4697,4252,3311,2252,1190,907,876,808,728,702,637,584,466,374,273,189,132,86,55,69,46,36,23,8,6,8,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,2,1.7986,0.0099903,0.042397,0.00011614,0.032517,1839,8.0285,0.11739,720.28,1447.6,43.528,178.62,2.4133,163.91,0.11908,0.3245,0.0013298,1,1,3,21,85,301,1026,2669,5064,8137,11910,16217,21150,26862,33191,40164,47461,55406,63640,71799,79735,87299,95073,1.0317e+05,1.1121e+05,1.1921e+05,1.271e+05,1.351e+05,1.4329e+05,1.5193e+05,1.5997e+05,1.6562e+05,1.6759e+05,1.6696e+05,1.6368e+05,1.5796e+05,1.5041e+05,1.4115e+05,1.3038e+05,1.181e+05,1.0409e+05,88336,71807,55995,43135,32884,24611,17830,12486,8043,4420,1784,441,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,2,0.64714,0.00066858,5.8037,0.00016091,0.10744,1401.8,1.9948,0.053749,1100.4,1483.4,13.39,0.57584,47.326,49.587,2.2493,0.030554,0.00026954,1,1,1,1,4,5,5,10,14,22,38,50,67,99,134,193,264,322,413,524,634,773,926,1050,1210,1342,1492,1671,1820,1942,2102,2261,2415,2549,2666,2791,2868,2995,3132,3234,3292,3273,3321,3379,3399,3429,3427,3418,3430,3420,3058,2426,1851,1441,1059,801,606,469,371,301,252,214,191,200,132,112,134,152,161,132,111,113,135,127,105,92,106,118,81,78,91,77,96,95,89,88,83,98,114,96,84,107,100,104,89,88,94
826,2,1.6855,8.1791e-05,0.069568,0.00018739,0.18622,1302.7,12.233,0.075618,486.51,1566.5,7.4699,0.034685,11.296,19.342,0.0087707,0.0074765,0.00092198,1,2,7,23,49,98,172,256,380,532,700,889,1111,1359,1581,1826,2060,2294,2544,2804,3055,3256,3464,3714,3970,4225,4465,4685,4931,5104,5356,5636,5821,6011,6202,6383,6652,6837,7088,7253,7455,7673,7888,8065,8284,8452,8671,8854,9073,9253,8870,8170,7459,6951,6544,6221,5983,5972,6045,6111,6252,6477,6590,6836,7008,7199,7376,7452,7751,7971,8105,8313,8588,8698,8926,9016,9213,9387,9652,9978,10108,10402,10814,11014,11320,11529,11740,11884,12107,12250,12540,12825,13137,13361,13567,13539,13631
827,2,1.9049,0.0018996,0.006907,0.00018464,1.6827,922.66,7.697,0.089581,903.79,2069.2,4.424,0.20406,5.1597,36.268,8.5421,0.021872,0.00068608,1,1,3,4,14,22,34,53,85,116,143,185,225,277,323,379,468,537,626,710,779,853,920,983,1064,1111,1204,1305,1382,1438,1475,1544,1583,1636,1654,1762,1841,1937,2074,2039,1822,1554,1276,965,614,329,273,236,185,141,98,63,36,18,12,9,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
